Datetime,Close,High,Low,Open,Volume
2026-07-30 20:00:00-04:00,28521.75,28524.5,28397.25,28424.0,11024
2026-07-30 21:00:00-04:00,28478.0,28572.0,28455.5,28523.0,9814
2026-07-30 22:00:00-04:00,28431.25,28499.5,28389.5,28478.0,8223
2026-07-30 23:00:00-04:00,28461.75,28478.25,28398.0,28431.5,5830
2026-07-31 00:00:00-04:00,28549.0,28557.0,28451.5,28459.5,5181
2026-07-31 01:00:00-04:00,28585.0,28590.75,28538.5,28548.75,6135
2026-07-31 02:00:00-04:00,28488.25,28611.75,28450.0,28585.5,10569
2026-07-31 03:00:00-04:00,28575.0,28584.25,28455.0,28484.25,9608
2026-07-31 04:00:00-04:00,28602.75,28611.0,28524.75,28572.75,7929
2026-07-31 05:00:00-04:00,28533.0,28640.75,28528.5,28603.25,8201
2026-07-31 06:00:00-04:00,28565.5,28591.25,28519.5,28531.75,5799
2026-07-31 07:00:00-04:00,28553.5,28626.0,28523.0,28565.5,7969
2026-07-31 08:00:00-04:00,28468.25,28555.25,28432.25,28554.75,15497
2026-07-31 09:00:00-04:00,28360.5,28725.75,28295.5,28468.5,111222
2026-07-31 10:00:00-04:00,28307.5,28393.0,28079.75,28356.75,129584
2026-07-31 11:00:00-04:00,28274.0,28342.25,28115.5,28308.75,80203
2026-07-31 12:00:00-04:00,28367.5,28390.0,28243.75,28274.0,50019
2026-07-31 13:00:00-04:00,28429.0,28503.0,28360.0,28366.75,43755
2026-07-31 14:00:00-04:00,28433.75,28462.0,28395.25,28429.0,30821
2026-07-31 15:00:00-04:00,28402.75,28524.0,28380.0,28433.5,63486
2026-07-31 16:00:00-04:00,28404.25,28434.25,28258.25,28402.75,25824
2026-08-02 18:00:00-04:00,28570.25,28641.25,28560.25,28601.0,6216
2026-08-02 19:00:00-04:00,28614.0,28637.5,28545.0,28568.75,8518
2026-08-02 20:00:00-04:00,28622.0,28630.5,28537.5,28611.0,12434
2026-08-02 21:00:00-04:00,28644.0,28650.0,28564.25,28622.25,8775
2026-08-02 22:00:00-04:00,28660.5,28681.5,28631.0,28644.75,5989
2026-08-02 23:00:00-04:00,28674.5,28698.25,28640.0,28662.5,4104
2026-08-03 00:00:00-04:00,28651.0,28688.5,28648.5,28669.0,2979
2026-08-03 01:00:00-04:00,28641.25,28666.25,28617.0,28650.75,4008
2026-08-03 02:00:00-04:00,28593.25,28661.0,28575.75,28642.0,5967
2026-08-03 03:00:00-04:00,28588.25,28634.5,28558.5,28594.25,7475
2026-08-03 04:00:00-04:00,28594.0,28595.0,28471.75,28588.0,9546
2026-08-03 05:00:00-04:00,28559.0,28601.0,28521.0,28594.75,5777
2026-08-03 06:00:00-04:00,28541.0,28565.25,28488.5,28559.25,5647
2026-08-03 07:00:00-04:00,28420.25,28547.0,28403.5,28541.25,10167
2026-08-03 08:00:00-04:00,28459.25,28491.5,28383.5,28420.25,13774
2026-08-03 09:00:00-04:00,28626.25,28628.0,28313.5,28459.25,87806
2026-08-03 10:00:00-04:00,28801.75,28803.75,28529.5,28623.75,89670
2026-08-03 11:00:00-04:00,28792.5,28814.5,28722.0,28801.0,51767
2026-08-03 12:00:00-04:00,28822.5,28847.25,28790.0,28792.5,35119
2026-08-03 13:00:00-04:00,28917.5,28921.75,28813.0,28822.75,33795
2026-08-03 14:00:00-04:00,28907.0,28964.25,28882.75,28917.5,41500
2026-08-03 15:00:00-04:00,28900.25,28943.75,28865.25,28907.5,56545
2026-08-03 16:00:00-04:00,28929.25,28945.0,28878.25,28900.75,13985
2026-08-03 18:00:00-04:00,28945.75,28962.25,28919.0,28930.0,0
2026-08-03 19:00:00-04:00,28971.0,28972.25,28930.25,28944.0,4265
2026-08-03 20:00:00-04:00,28876.75,28976.25,28864.25,28971.25,11462
2026-08-03 21:00:00-04:00,29041.25,29048.0,28831.75,28876.0,13274
2026-08-03 22:00:00-04:00,28972.75,29044.75,28942.5,29041.75,9392
2026-08-03 23:00:00-04:00,29003.5,29005.5,28931.75,28972.5,6399
2026-08-04 00:00:00-04:00,29015.5,29023.25,28968.5,28990.75,3144
2026-08-04 01:00:00-04:00,29072.25,29074.75,28978.25,29016.25,5440
2026-08-04 02:00:00-04:00,29073.75,29098.75,29042.5,29073.5,5580
2026-08-04 03:00:00-04:00,29071.25,29119.25,29036.5,29072.0,9095
2026-08-04 04:00:00-04:00,29068.75,29131.5,29039.0,29072.0,7807
2026-08-04 05:00:00-04:00,29077.75,29089.25,29007.5,29069.0,6350
2026-08-04 06:00:00-04:00,29115.5,29145.0,29067.25,29078.5,8504
2026-08-04 07:00:00-04:00,29237.5,29245.75,29114.25,29116.75,13172
2026-08-04 08:00:00-04:00,29202.75,29238.0,29188.0,29238.0,10326
2026-08-04 09:00:00-04:00,29466.0,29503.75,29191.25,29203.25,91567
2026-08-04 10:00:00-04:00,29549.75,29572.75,29432.0,29465.25,87259
2026-08-04 11:00:00-04:00,29671.0,29696.75,29544.0,29549.75,62625
2026-08-04 12:00:00-04:00,29742.75,29744.5,29661.25,29671.0,40887
2026-08-04 13:00:00-04:00,29834.75,29898.75,29739.25,29742.75,52371
2026-08-04 14:00:00-04:00,29881.5,29895.5,29808.0,29835.25,40069
2026-08-04 15:00:00-04:00,29876.75,29956.5,29847.5,29881.75,77820
2026-08-04 16:00:00-04:00,29818.25,29949.75,29761.25,29875.25,32908
2026-08-04 18:00:00-04:00,29827.5,29844.25,29776.5,29777.25,0
2026-08-04 19:00:00-04:00,29834.75,29857.25,29802.0,29825.75,6054
